GRDP,"Tên tỉnh,thành phố",Dân số(người)
1331440,Thành phố Hồ Chí Minh,8993082
920272,Hà Nội,8053663
300278,Đồng Nai,3097107
282999,Bình Dương,2426561
195540,Hải Phòng,1837173
161708,Bắc Ninh,1368840
149574,Bà Rịa - Vũng Tàu,1148313
146242,Thanh Hóa,3640128
145946,Quảng Ninh,1320324
115676,Nghệ An,3327791
109200,Hải Dương,1892254
109000,Đà Nẵng,1134310
103225,Cần Thơ,1235171
103143,Long An,1688547
98547,Thái Nguyên,1286751
94498,Vĩnh Phúc,1154154
91677,Quảng Nam,1495812
88259,Bắc Giang,1803950
87284,Kiên Giang,1723067
82682,Tiền Giang,1764185
78687,Đắk Lắk,1869322
78433,Lâm Đồng,1296606
76569,Khánh Hòa,1231107
74729,Bình Định,1486918
74297,An Giang,1908352
73568,Quảng Ngãi,1231697
71166,Tây Ninh,1169165
68142,Thái Bình,1860447
67732,Đồng Tháp,1599504
66158,Gia Lai,1513847
65746,Hưng Yên,1252731
63236,Hà Tĩnh,1288866
62340,Bình Thuận,1230808
58736,Nam Định,1780393
57353,Phú Thọ,1463726
56846,Bình Phước,994679
53229,Cà Mau,1194476
49346,Sóc Trăng,1199653
47428,Thừa Thiên Huế,1128620
47223,Sơn La,1248415
47205,Ninh Bình,982487
47121,Vĩnh Long,1022791
45778,Trà Vinh,1009168
44613,Hà Nam,852800
43634,Lào Cai,730420
41851,Bến Tre,1288463
40867,Hòa Bình,854131
37719,Bạc Liêu,907236
36352,Phú Yên,961152
33285,Quảng Bình,895430
30355,Lạng Sơn,781655
29763,Hậu Giang,733017
29227,Đắk Nông,622168
28084,Tuyên Quang,784811
27494,Quảng Trị,632375
27404,Yên Bái,821030
24288,Ninh Thuận,590467
20772,Hà Giang,854679
20057,Kon Tum,540438
15750,Điện Biên,598856
14998,Lai Châu,460196
14429,Cao Bằng,530341
9765,Bắc Kạn,313905
